,TagNo,LabNo,SPP,Sex,Weight,Condition,Analysis_Date,Analysis_Time,Sample_Type,Analyte,Result,Detect,Result_Qualifier,Result_Unit,LOQ,Reporting_Limit,SDG,Remarks,CAS_Number,Location,Length,Sample_Date,Sample_ID,Prep
6557,NA,L40006-3,NA,NA,NA,NA,20231116,2048,Sample,5PCB92,NA,N,U,ng/g,0.459,0.0259,WG87204,NA,52663-61-3,NA,NA,21-Oct-21,2,NA
6558,NA,L40006-3,NA,NA,NA,NA,20231116,2048,Sample,5PCB93+95,NA,N,C U,ng/g,0.462,0.028,WG87204,NA,73575-56-1,NA,NA,21-Oct-21,2,NA
6559,NA,L40006-3,NA,NA,NA,NA,20231116,2048,Sample,5PCB94,NA,N,U,ng/g,0.459,0.028,WG87204,NA,73575-55-0,NA,NA,21-Oct-21,2,NA
6560,NA,L40006-3,NA,NA,NA,NA,20231116,2048,Sample,5PCB96,NA,N,U,ng/g,0.459,0.028,WG87204,NA,73575-54-9,NA,NA,21-Oct-21,2,NA
6561,NA,L40006-3,NA,NA,NA,NA,20231116,2048,Sample,5PCB98+102,NA,N,C U,ng/g,0.459,0.028,WG87204,NA,60233-25-2,NA,NA,21-Oct-21,2,NA
6562,NA,L40006-3,NA,NA,NA,NA,20231116,2048,Sample,5PCB99,0.026,Y,K J,ng/g,0.462,0.0238,WG87204,NA,38380-01-7,NA,NA,21-Oct-21,2,NA
6563,NA,L40006-3,NA,NA,NA,NA,20231116,2048,Sample,5PCB100,NA,N,U,ng/g,0.459,0.028,WG87204,NA,39485-83-1,NA,NA,21-Oct-21,2,NA
6564,NA,L40006-3,NA,NA,NA,NA,20231116,2048,Sample,5PCB103,NA,N,U,ng/g,0.459,0.028,WG87204,NA,60145-21-3,NA,NA,21-Oct-21,2,NA
6565,NA,L40006-3,NA,NA,NA,NA,20231116,2048,Sample,5PCB104,NA,N,U,ng/g,0.459,0.0192,WG87204,NA,56558-16-8,NA,NA,21-Oct-21,2,NA
6566,NA,L40006-3,NA,NA,NA,NA,20231116,2048,Sample,5PCB105+127,0.068,Y,C K J,ng/g,0.459,0.0383,WG87204,NA,32598-14-4,NA,NA,21-Oct-21,2,NA
6567,NA,L40006-3,NA,NA,NA,NA,20231116,2048,Sample,5PCB106+118,0.208,Y,C J,ng/g,0.466,0.0372,WG87204,NA,70424-69-0,NA,NA,21-Oct-21,2,NA
6568,NA,L40006-3,NA,NA,NA,NA,20231116,2048,Sample,5PCB107+109,NA,N,C U,ng/g,0.459,0.0383,WG87204,NA,70424-68-9,NA,NA,21-Oct-21,2,NA
6569,NA,L40006-3,NA,NA,NA,NA,20231116,2048,Sample,5PCB110,NA,N,U,ng/g,0.463,0.0383,WG87204,NA,38380-03-9,NA,NA,21-Oct-21,2,NA
6570,NA,L40006-3,NA,NA,NA,NA,20231116,2048,Sample,5PCB111+117,NA,N,C U,ng/g,0.459,0.0565,WG87204,NA,39635-32-0,NA,NA,21-Oct-21,2,NA
6571,NA,L40006-3,NA,NA,NA,NA,20231116,2048,Sample,5PCB112,NA,N,U,ng/g,0.459,0.0287,WG87204,NA,74472-36-9,NA,NA,21-Oct-21,2,NA
6572,NA,L40006-3,NA,NA,NA,NA,20231116,2048,Sample,5PCB113,NA,N,U,ng/g,0.459,0.0259,WG87204,NA,68194-10-5,NA,NA,21-Oct-21,2,NA
6573,NA,L40006-3,NA,NA,NA,NA,20231116,2048,Sample,5PCB114,NA,N,U,ng/g,0.466,0.0388,WG87204,NA,74472-37-0,NA,NA,21-Oct-21,2,NA
6574,NA,L40006-3,NA,NA,NA,NA,20231116,2048,Sample,5PCB119,NA,N,U,ng/g,0.459,0.0238,WG87204,NA,56558-17-9,NA,NA,21-Oct-21,2,NA
6575,NA,L40006-3,NA,NA,NA,NA,20231116,2048,Sample,5PCB122,NA,N,U,ng/g,0.459,0.0388,WG87204,NA,76842-07-4,NA,NA,21-Oct-21,2,NA
6576,NA,L40006-3,NA,NA,NA,NA,20231116,2048,Sample,5PCB123,NA,N,U,ng/g,0.459,0.0372,WG87204,NA,65510-44-3,NA,NA,21-Oct-21,2,NA
6577,NA,L40006-3,NA,NA,NA,NA,20231116,2048,Sample,5PCB124,NA,N,U,ng/g,0.459,0.0383,WG87204,NA,70424-70-3,NA,NA,21-Oct-21,2,NA
6578,NA,L40006-3,NA,NA,NA,NA,20231116,2048,Sample,5PCB125,NA,N,U,ng/g,0.459,0.0565,WG87204,NA,74472-39-2,NA,NA,21-Oct-21,2,NA
6579,NA,L40006-3,NA,NA,NA,NA,20231116,2048,Sample,5PCB126,NA,N,U,ng/g,0.463,0.0396,WG87204,NA,57465-28-8,NA,NA,21-Oct-21,2,NA
6580,NA,L40006-3,NA,NA,NA,NA,20231116,2048,Sample,6PCB128,NA,N,U,ng/g,0.458,0.0535,WG87204,NA,38380-07-3,NA,NA,21-Oct-21,2,NA
6581,NA,L40006-3,NA,NA,NA,NA,20231116,2048,Sample,6PCB129,NA,N,U,ng/g,0.458,0.0535,WG87204,NA,55215-18-4,NA,NA,21-Oct-21,2,NA
6582,NA,L40006-3,NA,NA,NA,NA,20231116,2048,Sample,6PCB130,NA,N,U,ng/g,0.458,0.0535,WG87204,NA,52663-66-8,NA,NA,21-Oct-21,2,NA
6583,NA,L40006-3,NA,NA,NA,NA,20231116,2048,Sample,6PCB131+142,NA,N,C U,ng/g,0.458,0.0352,WG87204,NA,61798-70-7,NA,NA,21-Oct-21,2,NA
6584,NA,L40006-3,NA,NA,NA,NA,20231116,2048,Sample,6PCB132+168,NA,N,C U,ng/g,0.458,0.0477,WG87204,NA,38380-05-1,NA,NA,21-Oct-21,2,NA
6585,NA,L40006-3,NA,NA,NA,NA,20231116,2048,Sample,6PCB133,NA,N,U,ng/g,0.458,0.0352,WG87204,NA,35694-04-3,NA,NA,21-Oct-21,2,NA
6586,NA,L40006-3,NA,NA,NA,NA,20231116,2048,Sample,6PCB134+143,NA,N,C U,ng/g,0.458,0.0352,WG87204,NA,52704-70-8,NA,NA,21-Oct-21,2,NA
6587,NA,L40006-3,NA,NA,NA,NA,20231116,2048,Sample,6PCB135+144,NA,N,C U,ng/g,0.458,0.0352,WG87204,NA,52744-13-5,NA,NA,21-Oct-21,2,NA
6588,NA,L40006-3,NA,NA,NA,NA,20231116,2048,Sample,6PCB136,NA,N,U,ng/g,0.458,0.0365,WG87204,NA,38411-22-2,NA,NA,21-Oct-21,2,NA
6589,NA,L40006-3,NA,NA,NA,NA,20231116,2048,Sample,6PCB137,NA,N,U,ng/g,0.458,0.0535,WG87204,NA,35694-06-5,NA,NA,21-Oct-21,2,NA
6590,NA,L40006-3,NA,NA,NA,NA,20231116,2048,Sample,6PCB138+163+164,0.188,Y,C J,ng/g,0.46,0.0535,WG87204,NA,35065-28-2,NA,NA,21-Oct-21,2,NA
6591,NA,L40006-3,NA,NA,NA,NA,20231116,2048,Sample,6PCB139+149,NA,N,C U,ng/g,0.464,0.0352,WG87204,NA,56030-56-9,NA,NA,21-Oct-21,2,NA
6592,NA,L40006-3,NA,NA,NA,NA,20231116,2048,Sample,6PCB140,NA,N,U,ng/g,0.458,0.0352,WG87204,NA,59291-64-4,NA,NA,21-Oct-21,2,NA
6593,NA,L40006-3,NA,NA,NA,NA,20231116,2048,Sample,6PCB141,NA,N,U,ng/g,0.458,0.0535,WG87204,NA,52712-04-6,NA,NA,21-Oct-21,2,NA
6594,NA,L40006-3,NA,NA,NA,NA,20231116,2048,Sample,6PCB145,NA,N,U,ng/g,0.458,0.0365,WG87204,NA,74472-40-5,NA,NA,21-Oct-21,2,NA
6595,NA,L40006-3,NA,NA,NA,NA,20231116,2048,Sample,6PCB146,0.077,Y,J,ng/g,0.458,0.0325,WG87204,NA,51908-16-8,NA,NA,21-Oct-21,2,NA
6596,NA,L40006-3,NA,NA,NA,NA,20231116,2048,Sample,6PCB147,NA,N,U,ng/g,0.458,0.0352,WG87204,NA,68194-13-8,NA,NA,21-Oct-21,2,NA
6597,NA,L40006-3,NA,NA,NA,NA,20231116,2048,Sample,6PCB148,NA,N,U,ng/g,0.458,0.0365,WG87204,NA,74472-41-6,NA,NA,21-Oct-21,2,NA
6598,NA,L40006-3,NA,NA,NA,NA,20231116,2048,Sample,6PCB150,NA,N,U,ng/g,0.458,0.0365,WG87204,NA,68194-08-1,NA,NA,21-Oct-21,2,NA
6599,NA,L40006-3,NA,NA,NA,NA,20231116,2048,Sample,6PCB151,NA,N,U,ng/g,0.464,0.0385,WG87204,NA,52663-63-5,NA,NA,21-Oct-21,2,NA
6600,NA,L40006-3,NA,NA,NA,NA,20231116,2048,Sample,6PCB152,NA,N,U,ng/g,0.458,0.0365,WG87204,NA,68194-09-2,NA,NA,21-Oct-21,2,NA
6601,NA,L40006-3,NA,NA,NA,NA,20231116,2048,Sample,6PCB153,0.492,Y,NA,ng/g,0.466,0.0477,WG87204,NA,35065-27-1,NA,NA,21-Oct-21,2,NA
6602,NA,L40006-3,NA,NA,NA,NA,20231116,2048,Sample,6PCB154,NA,N,U,ng/g,0.458,0.0352,WG87204,NA,60145-22-4,NA,NA,21-Oct-21,2,NA
6603,NA,L40006-3,NA,NA,NA,NA,20231116,2048,Sample,6PCB155,NA,N,U,ng/g,0.458,0.0262,WG87204,NA,33979-03-2,NA,NA,21-Oct-21,2,NA
6604,NA,L40006-3,NA,NA,NA,NA,20231116,2048,Sample,6PCB156,NA,N,U,ng/g,0.461,0.041,WG87204,NA,38380-08-4,NA,NA,21-Oct-21,2,NA
6605,NA,L40006-3,NA,NA,NA,NA,20231116,2048,Sample,6PCB157,NA,N,U,ng/g,0.463,0.0447,WG87204,NA,69782-90-7,NA,NA,21-Oct-21,2,NA
6606,NA,L40006-3,NA,NA,NA,NA,20231116,2048,Sample,6PCB158+160,NA,N,C U,ng/g,0.458,0.0535,WG87204,NA,74472-42-7,NA,NA,21-Oct-21,2,NA
6607,NA,L40006-3,NA,NA,NA,NA,20231116,2048,Sample,6PCB159,NA,N,U,ng/g,0.458,0.0535,WG87204,NA,39635-35-3,NA,NA,21-Oct-21,2,NA
