TagNo,LabNo,SPP,Sex,Weight,Condition,Analysis_Date,Analysis_Time,Sample_Type,Analyte,Result,Detect,Result_Qualifier,Result_Unit,LOQ,Reporting_Limit,SDG,Remarks,CAS_Number,Location,Length,Sample_Date,Sample_ID,Prep
NA,WG87321-104  (DUP L40006-44),NA,NA,NA,NA,20231108,0119,DUP,8:2 FTS,NA,N,U,ng/g,1.47,0.313,WG87321,NA,481071-78-7,NA,NA,3-Nov-21,128-1 (Duplicate),NA
NA,WG87321-104  (DUP L40006-44),NA,NA,NA,NA,20231108,0119,DUP,PFOSA,NA,N,U,ng/g,0.369,0.0922,WG87321,NA,754-91-6,NA,NA,3-Nov-21,128-1 (Duplicate),NA
NA,WG87321-104  (DUP L40006-44),NA,NA,NA,NA,20231108,0119,DUP,N-MeFOSA,NA,N,U,ng/g,0.424,0.0922,WG87321,NA,31506-32-8,NA,NA,3-Nov-21,128-1 (Duplicate),NA
NA,WG87321-104  (DUP L40006-44),NA,NA,NA,NA,20231108,0119,DUP,N-EtFOSA,NA,N,U,ng/g,0.922,0.258,WG87321,NA,4151-50-2,NA,NA,3-Nov-21,128-1 (Duplicate),NA
NA,WG87321-104  (DUP L40006-44),NA,NA,NA,NA,20231108,0119,DUP,MeFOSAA,NA,N,U,ng/g,0.369,0.0922,WG87321,NA,2355-31-9,NA,NA,3-Nov-21,128-1 (Duplicate),NA
NA,WG87321-104  (DUP L40006-44),NA,NA,NA,NA,20231108,0119,DUP,EtFOSAA,NA,N,U,ng/g,0.369,0.0922,WG87321,NA,2991-50-6,NA,NA,3-Nov-21,128-1 (Duplicate),NA
NA,WG87321-104  (DUP L40006-44),NA,NA,NA,NA,20231108,0119,DUP,N-MeFOSE,NA,N,U,ng/g,10.1,0.922,WG87321,NA,24448-09-7,NA,NA,3-Nov-21,128-1 (Duplicate),NA
NA,WG87321-104  (DUP L40006-44),NA,NA,NA,NA,20231108,0119,DUP,N-EtFOSE,6.29,Y,K,ng/g,2.77,0.922,WG87321,NA,1691-99-2,NA,NA,3-Nov-21,128-1 (Duplicate),NA
NA,WG87321-104  (DUP L40006-44),NA,NA,NA,NA,20231108,0119,DUP,HFPO-DA,NA,N,U,ng/g,1.4,0.369,WG87321,NA,122499-17-6,NA,NA,3-Nov-21,128-1 (Duplicate),NA
NA,WG87321-104  (DUP L40006-44),NA,NA,NA,NA,20231108,0119,DUP,ADONA,NA,N,U,ng/g,1.47,0.369,WG87321,NA,2127366-90-7,NA,NA,3-Nov-21,128-1 (Duplicate),NA
NA,WG87321-104  (DUP L40006-44),NA,NA,NA,NA,20231108,0119,DUP,9Cl-PF3ONS,NA,N,U,ng/g,1.47,0.37,WG87321,NA,1621485-21-9,NA,NA,3-Nov-21,128-1 (Duplicate),NA
NA,WG87321-104  (DUP L40006-44),NA,NA,NA,NA,20231108,0119,DUP,11Cl-PF3OUdS,NA,N,U,ng/g,1.47,0.369,WG87321,NA,2196242-82-5,NA,NA,3-Nov-21,128-1 (Duplicate),NA
NA,WG87321-104  (DUP L40006-44),NA,NA,NA,NA,20231108,0119,DUP,3:3 FTCA,NA,N,U H,ng/g,1.47,0.369,WG87321,NA,1169706-83-5,NA,NA,3-Nov-21,128-1 (Duplicate),NA
NA,WG87321-104  (DUP L40006-44),NA,NA,NA,NA,20231108,0119,DUP,5:3 FTCA,NA,N,U,ng/g,9.22,2.3,WG87321,NA,1799325-94-2,NA,NA,3-Nov-21,128-1 (Duplicate),NA
NA,WG87321-104  (DUP L40006-44),NA,NA,NA,NA,20231108,0119,DUP,7:3 FTCA,NA,N,U,ng/g,9.22,2.3,WG87321,NA,1799325-95-3,NA,NA,3-Nov-21,128-1 (Duplicate),NA
NA,WG87321-104  (DUP L40006-44),NA,NA,NA,NA,20231108,0119,DUP,PFEESA,NA,N,U,ng/g,0.369,0.0922,WG87321,NA,220689-13-4,NA,NA,3-Nov-21,128-1 (Duplicate),NA
NA,WG87321-104  (DUP L40006-44),NA,NA,NA,NA,20231108,0119,DUP,PFMPA,NA,N,U,ng/g,0.737,0.184,WG87321,NA,NA,NA,NA,3-Nov-21,128-1 (Duplicate),NA
NA,WG87321-104  (DUP L40006-44),NA,NA,NA,NA,20231108,0119,DUP,PFMBA,NA,N,U,ng/g,0.369,0.0922,WG87321,NA,1432017-36-1,NA,NA,3-Nov-21,128-1 (Duplicate),NA
